Platform,Profile,Link,Text,Date,Type,Engagement,Engagement Rate,Followers,Likes,Comments,Shares,Reach,Impressions,Video Views,Brand Content Pillars,Industry Content Pillars,Country,
instagram,Kompas.com,https://www.instagram.com/reel/DZepebgS-a2/,Mahasiswa meminta aparat agar tidak represif saat menjaga aksi di Bundaran Hotel Indonesia (HI) Jakarta Pusat Jumat (12/6/2026).Kami tidak membawa senjata. Kami membawa niat untuk perbaikan untuk rakyat Indonesia ujar salah satu perwakilan BEM Universitas Indonesia.Sementara itu Kapolda Metro Jaya Komjen Asep Edi Suheri meminta seluruh personel gabungan yang menjaga demo di Bundaran HI dan Gedung DPR dilarang membawa senjata api.Asep juga mengingatkan seluruh pasukan tidak boleh berinisiatif menembakkan gas air mata ke arah massa.Penggunaan gas air mata hanya boleh atas perintah saya ucapnya.🎥: YouTube/Kompas TVKreatif: Blanka Rahel Maretha JoanneProduser: Reza Kurnia Darmawan~R #Demo #Peristiwa #Cut,2026-06-12 03:34 PM,reel,541552,18.35098903,2951078,531858,9694,0,3761405,6037568,0,N/A,Human & Civil Rights;Tech News & Innovation Spotlights,N/A,N/A
instagram,Kompas.com,https://www.instagram.com/reel/DZfCpkMSpNR/,Perwakilan ibu-ibu memprotes pemblokadean laju mahasiswa yang hendak berdemonstrasi di Bundaran Hotel Indonesia (HI) Jakarta Pusat Jumat (12/6/2026).Saya di sini bukan mewakili mahasiswa saya di sini sebagai ibu mereka. Saya akan menjaga mereka ujar perempuan tersebut di hadapan polisi.Sementara itu Kabid Humas Polda Metro Jaya Kombes Pol Budi Hermanto mengatakan Bundaran HI merupakan wilayah kegiatan ekonomi masyarakat dan salah satu jantung lalu lintas DKI Jakarta.Sehingga apabila terjadi kepadatan arus ini akan memberikan dampak yang luar biasa sampai dengan arteri ucapnya.🎥: Kompas.com/Rega AlmuhtadaKreatif: Blanka Rahel Maretha JoanneProduser: Reza Kurnia Darmawan~R #Demo #Peristiwa #Cut,2026-06-12 07:00 PM,reel,363520,12.3182105,2951078,349586,13934,0,2710041,4349986,0,N/A,Tech News & Innovation Spotlights;Conflict & Peace Initiatives,N/A,N/A
instagram,kumparan,https://www.instagram.com/reel/DZFNqItCY5c/,Mantan Mendikbudristek Nadiem Makarim menjalani sidang dengan agenda pembacaan nota pembelaan pribadi (pleidoi) terkait kasus dugaan korupsi pengadaan laptop Chromebook di Pengadilan Tipikor Jakarta Selasa (2/6).⁠⁠Dalam persidangan tersebut Nadiem terlihat beberapa kali menahan tangis dengan suara bergetar saat membacakan dokumen pleidoinya di hadapan Majelis Hakim.⁠⁠Secara tegas Nadiem membantah seluruh dakwaan Jaksa Penuntut Umum (JPU) terkait kerugian negara. Menurutnya kebijakan kementerian memilih Chrome OS secara mutlak justru menghemat pengeluaran negara setidaknya Rp 39 triliun jika dibandingkan opsi sistem operasi lainnya.⁠⁠Ia turut membantah adanya intervensi dalam proses pengadaan di e-katalog maupun konflik kepentingan terkait investasi Google di Gojek (GoTo) sebagai bentuk balas budi.⁠⁠Saat membacakan bagian selanjutnya suara Nadiem terdengar bergetar dan ia terlihat menahan tangis. Ia menyinggung harapannya untuk anak-anaknya dan rasa kecewanya atas tuntutan pidana yang diberikan kepadanya.⁠⁠📸: Dok. YouTube PN Jakarta Pusat.⁠⁠Baca selengkapnya dengan klik link di bio. Cari tahu berita update lainnya dengan download aplikasi kumparan di App Store atau Google Play.⁠⁠📝: newsupdate | update | news | svt | R169 | E164⁠⁠#bicarafaktalewatberita #kumparan,2026-06-02 06:18 PM,reel,350668,12.96159329,2705439,342236,8432,0,2426833,3895398,0,N/A,Climate & Environmental Advocacy;Breaking News & Headlines,N/A,N/A
instagram,Kompas.com,https://www.instagram.com/reel/DZ7sF2qyMOu/,Ketua BEM Fakultas Hukum Universitas Bung Karno (UBK) Muhammad Abdimaludin mengaku menerima uang sebesar Rp 20 juta diduga dari oknum polisi. Uang tersebut disalurkan melalui seorang senior alumni Fakultas Hukum UBK dan diterima sebelum aksi demonstrasi mahasiswa pada Senin (15/6/2026).Uang tersebut diduga berkaitan dengan rencana pemindahan titik aksi mahasiswa UBK di Istana Presiden Jakarta Pusat.Gimana kalau menurut kalian? Coba komen!Content Creator: Dian Reinis rerekumampung Produser: Akhdi Martin#demo #demomahasiswa #demojakarta #review,2026-06-23 10:02 PM,reel,337098,11.42287666,2951078,316485,20613,0,2738406,4395515,0,N/A,Business Insights & Market Analysis,N/A,N/A
instagram,tempo.co by Tempo Media Group,https://www.instagram.com/reel/DZfBAR0DmOP/,Ketua Badan Eksekutif Mahasiswa Universitas Indonesia atau BEM UI Yatalathof Mashum Imawan mengungkapkan alasan mahasiswa memilih berunjuk rasa di kawasan Bundaran Hotel Indonesia (HI) Jakarta Pusat.Menurut Athof Bundaran HI dipilih karena mahasiswa tak lagi percaya dengan Dewan Perwakilan Rakyat (DPR) maupun pemerintah.Karena itu mereka tidak ingin berunjuk rasa di depan Gedung DPR maupun Istana Kepresidenan yang biasanya menjadi lokasi aksi.#TUpdate #tempodotco #bemui ---Manfaatkan promo khusus mahasiswa untuk akses penuh Tempo Plus dan baca lebih dalam setiap isu yang membentuk masa depan Indonesia. - https://s.id/promomahasiswa2026,2026-06-12 06:45 PM,reel,304581,15.36945768,1981729,300935,3646,0,2938450,4716613,0,N/A,Breaking News & Headlines;Conflict & Peace Initiatives,N/A,N/A
instagram,kumparan,https://www.instagram.com/reel/DZF1OZpCtM_/,Dua mahasiswa sesama jenis kedapatan berciuman di selasar perpustakaan kampus Politeknik Negeri Jakarta (PNJ). Aksi tersebut terekam video dan kemudian viral di kalangan mahasiswa.Humas PNJ Dhika membenarkan kejadian tersebut. Ia menjelaskan mahasiswa yang terlibat adalah AZ dari Program Studi Administrasi Niaga angkatan 2025 sementara pria lainnya bukan mahasiswa PNJ.Usai kejadian itu AZ menjalani proses pemeriksaan bersama pihak kampus. Pimpinan PNJ saat ini tengah menyiapkan sanksi terhadap mahasiswa yang bersangkutan.Dhika mengatakan pimpinan PNJ telah menetapkan tindakan tegas sesuai peraturan pendidikan dan kode etik mahasiswa. Sanksi maksimal yang dapat dijatuhkan adalah pemberhentian dari kampus.📸: Dok. Istimewa.Baca selengkapnya dengan klik link di bio. Cari tahu berita update lainnya dengan download aplikasi kumparan di App Store atau Google Play.⁠⁠📝: newsupdate | update | news | vidol | R169 | E057⁠#bicarafaktalewatberita #kumparan,2026-06-03 12:01 AM,reel,276653,10.22580809,2705439,238063,38590,0,7280485,11686171,0,N/A,Business Insights & Market Analysis;Climate & Environmental Advocacy,N/A,N/A
instagram,kumparan,https://www.instagram.com/reel/DZ4kkmWCW-2/,Gubernur Jawa Barat Dedi Mulyadi atau KDM menjenguk YTR (29) perempuan korban penyekapan dan penganiayaan selama hampir 3 tahun di Bandung. Pelakunya diduga pacarnya yang bernama Taufik Hidayat (30).Korban saat ini dirawat di Rumah Sakit Hasan Sadikin (RSHS) Bandung. Tampak KDM tiba di lokasi sekitar pukul 15.42 WIB. Ia pun langsung masuk ke dalam rumah sakit.Seusai bertemu korban KDM mengungkap keprihatinannya. Ia mengaku tidak tega melihat kondisi korban. “Jujur aja lihatnya pun gak berani gak tegalah” kata dia.KDM mengungkap bahwa Pemprov Jabar menanggung seluruh biaya pengobatan YTR. Termasuk juga memberikan bantuan kepada keluarga korban untuk kebutuhan selama mendampingi YTR di rumah sakit.“Seluruh biayanya saya tanggung jadi gak usah nyari ke BPJS jadi gak usah sibuk lagi keluarganya. Dan tadi keluarganya juga dibekelin selama nungguin anaknya tidak lagi pusing ngurusin kebutuhan rumah” katanya.📸: Dok. kumparan/AbisatyaBaca selengkapnya dengan klik link di bio. Cari tahu berita update lainnya dengan download aplikasi kumparan di App Store atau Google Play.⁠📝: newsupdate | update | news | vidol | R176 | E164 | V175#bicarafaktalewatberita #kumparan,2026-06-22 04:57 PM,reel,221384,8.182923363,2705439,215510,5874,0,2110827,3388166,0,N/A,Educational Content;Human & Civil Rights,N/A,N/A
instagram,Kompas.com,https://www.instagram.com/reel/DZek7vqy3iB/,Massa dari BEM UI akhirnya longmarch karena diblokade ke Bundaran HI Jakarta Pusat Jumat (12/06/2026).Adapun tuntutan massa untuk demo hari ini adalah sebagai berikut:1. Menghentikan pemborosan APBN 2. Menurunkan harga kebutuhan pokok dan BBM 3. Menghentikan Program Makan Bergizi Gratis (MBG) dan pembangunan Koperasi Desa Merah Putih 4. Menghentikan militerisme di ranah sipil 5. Mendesak pemerintah mengakui kesalahan dan berhenti mengelak.Kreatif: Rega Almuhtada Produser: Akhdi Martin Pratama #Demo #BEMUI #BundaranHI ##cut,2026-06-12 02:40 PM,reel,213124,7.221903318,2951078,207203,5921,0,2160214,3467438,0,N/A,N/A,N/A,N/A
instagram,kumparan,https://www.instagram.com/reel/DY1LeySEwaz/,Menteri Keuangan Purbaya Yudhi Sadewa ikut berkurban di Kantor Direktorat Jenderal Pajak (DJP) Rabu (27/5/2026). Sapinya jenis Crossing Simental yang dibeli pakai uang sendiri.Berikut videonya.📸: Dok: kumparan/Ave Airiza.Baca selengkapnya dengan klik link di bio. Cari tahu berita update lainnya dengan download aplikasi kumparan di App Store atau Google Play.⁠📝: bisnisupdate | update | bisnis | vidol | R142 | E068 | E036#bicarafaktalewatberita #kumparan,2026-05-27 12:48 PM,reel,201862,7.461339916,2705439,197935,3927,0,2262772,3632058,0,N/A,Public Announcements & Updates;Business Insights & Market Analysis,N/A,N/A
instagram,kumparan,https://www.instagram.com/reel/DZrKNt0xxCz/,Pria yang diduga menganiaya dan mengurung wanita berinisial Y di dalam kamar kos di Cinunuk Cileunyi Kabupaten Bandung diduga ikut mengancam penjaga kos. Pria itu tinggal bersama korban di kos tersebut dengan mengaku sebagai suaminya.Ancaman itu terjadi setelah korban menjalani perawatan di rumah sakit akibat luka-luka yang dideritanya. Penjaga kos Resa (40) salah satu yang menolong korban karena merasa prihatin dengan kondisi korban.Awalnya korban dibawa ke Rumah Sakit Ujung Berung. Kemudian dirujuk ke Rumah Sakit Hasan Sadikin (RSHS) Bandung.Selama mendampingi korban di rumah sakit Resa mengaku beberapa kali diminta memberikan keterangan kepada petugas medis karena nomor teleponnya tercatat sebagai pihak yang dapat dihubungi.Resa mengaku mendapat ancaman serius dari pria tersebut. Bahkan terduga pelaku disebut mengancam akan menghabisi dirinya dan istrinya apabila korban meninggal dunia.📸: Dok. kumparan/Abisatya.Baca selengkapnya dengan klik link di bio. Cari tahu berita update lainnya dengan download aplikasi kumparan di App Store atau Google Play.📝: focus | wanitacileunyi | news | svt | R176 | E164#bicarafaktalewatberita #kumparan,2026-06-17 11:57 AM,reel,193959,7.169224662,2705439,190206,3753,0,3280170,5265121,0,N/A,Tech News & Innovation Spotlights;Fundraising & Campaigns,N/A,N/A
